ph,raw_charge_diff,net_charge
7.53,3.3375108333333333e-06,-1.8559267182130585
7.54,3.289591625e-06,-1.8608668427835053
7.56,3.2437522083333333e-06,-1.8655925558419246
7.58,3.197123794871795e-06,-1.8703996087761037
7.59,3.1484165897435896e-06,-1.875420970129527
7.61,3.1010011794871792e-06,-1.8803091567538992
7.63,3.053582769230769e-06,-1.8851976526566219
7.64,3.004873564102564e-06,-1.890219220195612
7.66,2.9574531538461536e-06,-1.895107922283902
7.68,2.9100297435897434e-06,-1.899996933650542
7.7,2.8626053333333334e-06,-1.9048860481099659
7.72,2.815177923076923e-06,-1.90977547184774
7.75,2.7690323076923076e-06,-1.9145327517842983
7.77,2.721598897435897e-06,-1.9194227940787738
7.8,2.675443282051282e-06,-1.924181104943167
7.83,2.6292816666666663e-06,-1.9289400343642613
7.85,2.581836256410256e-06,-1.9338313137721388
7.88,2.535662641025641e-06,-1.938591480306635
7.92,2.4907518205128205e-06,-1.943221461802802
7.95,2.444558205128205e-06,-1.9479836901929688
7.99,2.398374142857143e-06,-1.9527449337260678
8.03,2.3517583333333333e-06,-1.9575506872852235
8.07,2.305121523809524e-06,-1.9623586057928328
8.12,2.259293761904762e-06,-1.967083117329406
8.17,2.213427e-06,-1.9718116494845364
8.22,2.1675172380952383e-06,-1.976544614629357
8.28,2.122360523809524e-06,-1.9811999459990184
8.35,2.077906857142857e-06,-1.9857827982326954
8.42,2.0333231904761906e-06,-1.9903790525282279
8.5,1.9893245714285716e-06,-1.99491499263623
8.58,1.9450859523809523e-06,-1.999475675012273
8.67,1.90888225e-06,-2.0032080154639176
8.76,1.87318653125e-06,-2.0068879864690725
8.84,1.83544078125e-06,-2.0107793009020622
8.93,1.800710095238095e-06,-2.0143597839960727
9.01,1.770189476190476e-06,-2.017506239567992
9.09,1.7388918571428572e-06,-2.0207327982326952
9.16,1.7085935000000004e-06,-2.0238563402061858
9.23,1.6805296250000005e-06,-2.0267495231958765
9.29,1.6495940769230768e-06,-2.029938754956384
9.35,1.6230375384615385e-06,-2.0326765424266457
9.4,1.5918489230769234e-06,-2.0358918636003174
9.46,1.568729727272728e-06,-2.0382752858481727
9.51,1.5410794545454547e-06,-2.041125829428304
9.55,1.5108645000000008e-06,-2.0442407731958765
9.6,1.4857200000000002e-06,-2.0468329896907216
9.64,1.4568037777777785e-06,-2.0498140435280643
9.68,1.429101333333333e-06,-2.0526699656357392
9.71,1.3952339999999999e-06,-2.0561614432989694
9.75,1.3707095e-06,-2.0586897422680415
9.79,1.3451180000000001e-06,-2.0613280412371138
9.83,1.320690000000001e-06,-2.0638463917525773
9.86,1.2890360000000002e-06,-2.0671096907216495
9.89,1.2596995714285729e-06,-2.070134064801178
9.93,1.2380097142857145e-06,-2.0723701325478645
9.96,1.20963442857143e-06,-2.0752954197349043
