# R/Å F/kT U/kT
60.50 0.01 0.01
60.60 0.01 0.01
60.70 0.01 0.01
60.80 0.01 0.01
60.90 0.01 0.01
61.00 0.01 0.01
61.10 0.01 0.01
61.20 0.01 0.01
61.30 0.01 0.01
61.40 0.01 0.01
61.50 0.01 0.01
61.60 0.01 0.01
61.70 0.01 0.01
61.80 0.01 0.01
61.90 0.01 0.01
62.00 0.01 0.01
62.10 0.01 0.01
62.20 0.01 0.01
62.30 0.01 0.01
62.40 0.01 0.01
62.50 0.01 0.01
62.60 0.01 0.01
62.70 0.01 0.01
62.80 0.01 0.01
62.90 0.01 0.01
63.00 0.01 0.01
63.10 0.01 0.01
63.20 0.01 0.01
63.30 0.01 0.01
63.40 0.01 0.01
63.50 0.01 0.01
63.60 0.01 0.01
63.70 0.01 0.01
63.80 0.01 0.01
63.90 0.01 0.01
64.00 0.01 0.01
64.10 0.01 0.01
64.20 0.01 0.01
64.30 0.01 0.01
64.40 0.01 0.01
64.50 0.01 0.01
64.60 0.01 0.01
64.70 0.01 0.01
64.80 0.01 0.01
64.90 0.01 0.01
65.00 0.01 0.01
65.10 0.01 0.01
65.20 0.01 0.01
65.30 0.01 0.01
65.40 0.01 0.01
65.50 0.01 0.01
65.60 0.01 0.01
65.70 0.01 0.01
65.80 0.01 0.01
65.90 0.01 0.01
66.00 0.01 0.01
66.10 0.01 0.01
66.20 0.01 0.01
66.30 0.01 0.01
66.40 0.01 0.01
66.50 0.01 0.01
66.60 0.01 0.01
66.70 0.01 0.01
66.80 0.01 0.01
66.90 0.01 0.01
67.00 0.01 0.01
67.10 0.01 0.01
67.20 0.01 0.01
67.30 0.01 0.01
67.40 0.01 0.01
67.50 0.01 0.01
67.60 0.01 0.01
67.70 0.01 0.01
67.80 0.01 0.00
67.90 0.01 0.00
68.00 0.00 0.00
68.10 0.00 0.00
68.20 0.00 0.00
68.30 0.00 0.00
68.40 0.00 0.00
68.50 0.00 0.00
68.60 0.00 0.00
68.70 0.00 0.00
68.80 0.00 0.00
68.90 0.00 0.00
69.00 0.00 0.00
69.10 0.00 0.00
69.20 0.00 0.00
69.30 0.00 0.00
69.40 0.00 0.00
69.50 0.00 0.00
69.60 0.00 0.00
69.70 0.00 0.00
69.80 0.00 0.00
69.90 0.00 0.00
70.00 0.00 0.00
70.10 0.00 0.00
70.20 0.00 0.00
70.30 0.00 0.00
70.40 0.00 0.00
70.50 0.00 0.00
70.60 0.00 0.00
70.70 0.00 0.00
70.80 0.00 0.00
70.90 0.00 0.00
71.00 0.00 0.00
71.10 0.00 0.00
71.20 0.00 0.00
71.30 0.00 0.00
71.40 0.00 0.00
71.50 0.00 0.00
71.60 0.00 0.00
71.70 0.00 0.00
71.80 0.00 0.00
71.90 0.00 0.00
72.00 0.00 0.00
72.10 0.00 0.00
72.20 0.00 0.00
72.30 0.00 0.00
72.40 0.00 0.00
72.50 0.00 0.00
72.60 0.00 0.00
72.70 0.00 0.00
72.80 0.00 0.00
72.90 0.00 0.00
73.00 0.00 0.00
73.10 0.00 0.00
73.20 0.00 0.00
73.30 0.00 0.00
73.40 0.00 0.00
73.50 0.00 0.00
73.60 0.00 0.00
73.70 0.00 0.00
73.80 0.00 0.00
73.90 0.00 0.00
74.00 0.00 0.00
74.10 0.00 0.00
74.20 0.00 0.00
74.30 0.00 0.00
74.40 0.00 0.00
74.50 0.00 0.00
74.60 0.00 0.00
74.70 0.00 0.00
74.80 0.00 0.00
74.90 0.00 0.00
75.00 0.00 0.00
75.10 0.00 0.00
75.20 0.00 0.00
75.30 0.00 0.00
75.40 0.00 0.00
75.50 0.00 0.00
75.60 0.00 0.00
75.70 0.00 0.00
75.80 0.00 0.00
75.90 0.00 0.00
76.00 0.00 0.00
76.10 0.00 0.00
76.20 0.00 0.00
76.30 0.00 0.00
76.40 0.00 0.00
76.50 0.00 0.00
76.60 0.00 0.00
76.70 0.00 0.00
76.80 0.00 0.00
76.90 0.00 0.00
77.00 0.00 0.00
77.10 0.00 0.00
77.20 0.00 0.00
77.30 0.00 0.00
77.40 0.00 0.00
77.50 0.00 0.00
77.60 0.00 0.00
77.70 0.00 0.00
77.80 0.00 0.00
77.90 0.00 0.00
78.00 0.00 0.00
78.10 0.00 0.00
78.20 0.00 0.00
78.30 0.00 0.00
78.40 0.00 0.00
78.50 0.00 0.00
78.60 0.00 0.00
78.70 0.00 0.00
78.80 0.00 0.00
78.90 0.00 0.00
79.00 0.00 0.00
79.10 0.00 0.00
79.20 0.00 0.00
79.30 0.00 0.00
79.40 0.00 0.00
79.50 0.00 0.00
79.60 0.00 0.00
79.70 0.00 0.00
79.80 0.00 0.00
79.90 0.00 0.00
