# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
42.10 -0.3690 -1.1167e0 1.1631e0 4.4631e-1
42.20 -0.3663 -1.1013e0 1.1540e0 4.4237e-1
42.30 -0.3636 -1.0861e0 1.1448e0 4.3844e-1
42.40 -0.3609 -1.0714e0 1.1363e0 4.3456e-1
42.50 -0.3582 -1.0570e0 1.1287e0 4.3069e-1
42.60 -0.3554 -1.0428e0 1.1216e0 4.2677e-1
42.70 -0.3526 -1.0286e0 1.1139e0 4.2276e-1
42.80 -0.3497 -1.0143e0 1.1049e0 4.1862e-1
42.90 -0.3466 -9.9961e-1 1.0940e0 4.1430e-1
43.00 -0.3435 -9.8462e-1 1.0811e0 4.0982e-1
43.10 -0.3402 -9.6939e-1 1.0663e0 4.0522e-1
43.20 -0.3369 -9.5419e-1 1.0507e0 4.0062e-1
43.30 -0.3337 -9.3937e-1 1.0360e0 3.9609e-1
43.40 -0.3305 -9.2514e-1 1.0233e0 3.9166e-1
43.50 -0.3274 -9.1147e-1 1.0131e0 3.8730e-1
43.60 -0.3242 -8.9815e-1 1.0045e0 3.8295e-1
43.70 -0.3210 -8.8490e-1 9.9594e-1 3.7852e-1
43.80 -0.3177 -8.7152e-1 9.8632e-1 3.7396e-1
43.90 -0.3142 -8.5785e-1 9.7515e-1 3.6923e-1
44.00 -0.3106 -8.4381e-1 9.6234e-1 3.6430e-1
44.10 -0.3069 -8.2934e-1 9.4790e-1 3.5918e-1
44.20 -0.3030 -8.1446e-1 9.3181e-1 3.5392e-1
44.30 -0.2991 -7.9928e-1 9.1419e-1 3.4858e-1
44.40 -0.2951 -7.8397e-1 8.9541e-1 3.4324e-1
44.50 -0.2911 -7.6872e-1 8.7609e-1 3.3795e-1
44.60 -0.2872 -7.5367e-1 8.5678e-1 3.3273e-1
44.70 -0.2834 -7.3888e-1 8.3782e-1 3.2761e-1
44.80 -0.2796 -7.2443e-1 8.1951e-1 3.2258e-1
44.90 -0.2759 -7.1037e-1 8.0219e-1 3.1766e-1
45.00 -0.2722 -6.9677e-1 7.8622e-1 3.1286e-1
45.10 -0.2686 -6.8364e-1 7.7177e-1 3.0818e-1
45.20 -0.2652 -6.7099e-1 7.5875e-1 3.0365e-1
45.30 -0.2618 -6.5883e-1 7.4705e-1 2.9929e-1
45.40 -0.2586 -6.4721e-1 7.3664e-1 2.9511e-1
45.50 -0.2555 -6.3618e-1 7.2762e-1 2.9111e-1
45.60 -0.2525 -6.2571e-1 7.2003e-1 2.8725e-1
45.70 -0.2496 -6.1569e-1 7.1370e-1 2.8348e-1
45.80 -0.2466 -6.0599e-1 7.0818e-1 2.7972e-1
45.90 -0.2437 -5.9645e-1 7.0300e-1 2.7593e-1
46.00 -0.2406 -5.8697e-1 6.9790e-1 2.7204e-1
46.10 -0.2375 -5.7742e-1 6.9256e-1 2.6801e-1
46.20 -0.2341 -5.6767e-1 6.8652e-1 2.6381e-1
46.30 -0.2306 -5.5761e-1 6.7929e-1 2.5939e-1
46.40 -0.2270 -5.4717e-1 6.7062e-1 2.5477e-1
46.50 -0.2231 -5.3637e-1 6.6049e-1 2.4997e-1
46.60 -0.2192 -5.2527e-1 6.4906e-1 2.4505e-1
46.70 -0.2152 -5.1400e-1 6.3663e-1 2.4006e-1
46.80 -0.2111 -5.0273e-1 6.2365e-1 2.3509e-1
46.90 -0.2071 -4.9162e-1 6.1070e-1 2.3016e-1
47.00 -0.2032 -4.8075e-1 5.9822e-1 2.2530e-1
47.10 -0.1992 -4.7007e-1 5.8629e-1 2.2047e-1
47.20 -0.1953 -4.5950e-1 5.7461e-1 2.1566e-1
47.30 -0.1913 -4.4893e-1 5.6276e-1 2.1086e-1
47.40 -0.1874 -4.3834e-1 5.5047e-1 2.0608e-1
47.50 -0.1835 -4.2781e-1 5.3782e-1 2.0136e-1
47.60 -0.1796 -4.1745e-1 5.2522e-1 1.9675e-1
47.70 -0.1759 -4.0741e-1 5.1316e-1 1.9228e-1
47.80 -0.1722 -3.9772e-1 5.0191e-1 1.8795e-1
47.90 -0.1687 -3.8835e-1 4.9143e-1 1.8376e-1
48.00 -0.1652 -3.7921e-1 4.8134e-1 1.7967e-1
48.10 -0.1618 -3.7022e-1 4.7124e-1 1.7568e-1
48.20 -0.1585 -3.6135e-1 4.6094e-1 1.7178e-1
48.30 -0.1553 -3.5262e-1 4.5052e-1 1.6795e-1
48.40 -0.1520 -3.4403e-1 4.4011e-1 1.6418e-1
48.50 -0.1488 -3.3553e-1 4.2972e-1 1.6043e-1
48.60 -0.1455 -3.2706e-1 4.1920e-1 1.5666e-1
48.70 -0.1422 -3.1855e-1 4.0837e-1 1.5286e-1
48.80 -0.1389 -3.0997e-1 3.9714e-1 1.4901e-1
48.90 -0.1355 -3.0129e-1 3.8551e-1 1.4511e-1
49.00 -0.1321 -2.9256e-1 3.7359e-1 1.4117e-1
49.10 -0.1286 -2.8382e-1 3.6157e-1 1.3722e-1
49.20 -0.1251 -2.7512e-1 3.4961e-1 1.3329e-1
49.30 -0.1217 -2.6652e-1 3.3779e-1 1.2939e-1
49.40 -0.1183 -2.5805e-1 3.2607e-1 1.2555e-1
49.50 -0.1149 -2.4977e-1 3.1452e-1 1.2176e-1
49.60 -0.1116 -2.4169e-1 3.0324e-1 1.1805e-1
49.70 -0.1083 -2.3385e-1 2.9238e-1 1.1440e-1
49.80 -0.1051 -2.2625e-1 2.8207e-1 1.1082e-1
49.90 -0.1019 -2.1887e-1 2.7232e-1 1.0730e-1
50.00 -0.0988 -2.1167e-1 2.6303e-1 1.0383e-1
50.10 -0.0957 -2.0461e-1 2.5400e-1 1.0042e-1
50.20 -0.0926 -1.9768e-1 2.4512e-1 9.7062e-2
50.30 -0.0896 -1.9089e-1 2.3639e-1 9.3770e-2
50.40 -0.0867 -1.8427e-1 2.2791e-1 9.0549e-2
50.50 -0.0838 -1.7783e-1 2.1975e-1 8.7404e-2
50.60 -0.0810 -1.7156e-1 2.1191e-1 8.4336e-2
50.70 -0.0782 -1.6544e-1 2.0435e-1 8.1350e-2
50.80 -0.0755 -1.5950e-1 1.9700e-1 7.8455e-2
50.90 -0.0729 -1.5374e-1 1.8988e-1 7.5657e-2
51.00 -0.0704 -1.4819e-1 1.8306e-1 7.2959e-2
51.10 -0.0680 -1.4285e-1 1.7660e-1 7.0358e-2
51.20 -0.0656 -1.3770e-1 1.7048e-1 6.7849e-2
51.30 -0.0634 -1.3272e-1 1.6463e-1 6.5425e-2
51.40 -0.0612 -1.2791e-1 1.5897e-1 6.3083e-2
51.50 -0.0590 -1.2324e-1 1.5348e-1 6.0819e-2
51.60 -0.0570 -1.1873e-1 1.4818e-1 5.8631e-2
51.70 -0.0550 -1.1436e-1 1.4308e-1 5.6512e-2
51.80 -0.0530 -1.1011e-1 1.3811e-1 5.4455e-2
51.90 -0.0511 -1.0593e-1 1.3319e-1 5.2453e-2
52.00 -0.0493 -1.0183e-1 1.2822e-1 5.0502e-2
52.10 -0.0475 -9.7801e-2 1.2317e-1 4.8598e-2
52.20 -0.0457 -9.3832e-2 1.1804e-1 4.6736e-2
52.30 -0.0439 -8.9928e-2 1.1284e-1 4.4908e-2
52.40 -0.0422 -8.6088e-2 1.0763e-1 4.3109e-2
52.50 -0.0405 -8.2314e-2 1.0246e-1 4.1334e-2
52.60 -0.0388 -7.8604e-2 9.7379e-2 3.9577e-2
52.70 -0.0371 -7.4953e-2 9.2392e-2 3.7835e-2
52.80 -0.0355 -7.1350e-2 8.7500e-2 3.6104e-2
52.90 -0.0338 -6.7793e-2 8.2690e-2 3.4387e-2
53.00 -0.0322 -6.4289e-2 7.7959e-2 3.2690e-2
53.10 -0.0305 -6.0861e-2 7.3342e-2 3.1021e-2
53.20 -0.0290 -5.7536e-2 6.8895e-2 2.9390e-2
53.30 -0.0274 -5.4337e-2 6.4671e-2 2.7803e-2
53.40 -0.0259 -5.1279e-2 6.0709e-2 2.6259e-2
53.50 -0.0245 -4.8367e-2 5.7037e-2 2.4755e-2
53.60 -0.0230 -4.5585e-2 5.3658e-2 2.3283e-2
53.70 -0.0216 -4.2908e-2 5.0533e-2 2.1836e-2
53.80 -0.0202 -4.0309e-2 4.7594e-2 2.0409e-2
53.90 -0.0188 -3.7770e-2 4.4778e-2 1.9000e-2
54.00 -0.0175 -3.5282e-2 4.2051e-2 1.7613e-2
54.10 -0.0161 -3.2842e-2 3.9398e-2 1.6251e-2
54.20 -0.0148 -3.0455e-2 3.6806e-2 1.4924e-2
54.30 -0.0135 -2.8136e-2 3.4278e-2 1.3642e-2
54.40 -0.0123 -2.5905e-2 3.1837e-2 1.2413e-2
54.50 -0.0112 -2.3781e-2 2.9516e-2 1.1244e-2
54.60 -0.0101 -2.1775e-2 2.7343e-2 1.0136e-2
54.70 -0.0090 -1.9885e-2 2.5324e-2 9.0860e-3
54.80 -0.0081 -1.8107e-2 2.3454e-2 8.0918e-3
