# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
37.70 -0.0849 -1.4647e0 1.2784e0 8.8596e-2
37.80 -0.0917 -1.4513e0 1.2709e0 9.5982e-2
37.90 -0.0982 -1.4378e0 1.2624e0 1.0319e-1
38.00 -0.1046 -1.4244e0 1.2541e0 1.1026e-1
38.10 -0.1108 -1.4112e0 1.2465e0 1.1721e-1
38.20 -0.1169 -1.3981e0 1.2396e0 1.2404e-1
38.30 -0.1229 -1.3852e0 1.2329e0 1.3072e-1
38.40 -0.1286 -1.3722e0 1.2262e0 1.3720e-1
38.50 -0.1340 -1.3591e0 1.2188e0 1.4341e-1
38.60 -0.1392 -1.3456e0 1.2101e0 1.4930e-1
38.70 -0.1440 -1.3318e0 1.2002e0 1.5485e-1
38.80 -0.1485 -1.3177e0 1.1895e0 1.6011e-1
38.90 -0.1528 -1.3035e0 1.1785e0 1.6512e-1
39.00 -0.1569 -1.2893e0 1.1675e0 1.6993e-1
39.10 -0.1609 -1.2751e0 1.1565e0 1.7456e-1
39.20 -0.1647 -1.2609e0 1.1456e0 1.7901e-1
39.30 -0.1683 -1.2468e0 1.1348e0 1.8329e-1
39.40 -0.1718 -1.2327e0 1.1239e0 1.8744e-1
39.50 -0.1752 -1.2187e0 1.1131e0 1.9148e-1
39.60 -0.1785 -1.2047e0 1.1025e0 1.9543e-1
39.70 -0.1817 -1.1909e0 1.0919e0 1.9930e-1
39.80 -0.1849 -1.1772e0 1.0814e0 2.0310e-1
39.90 -0.1880 -1.1638e0 1.0712e0 2.0684e-1
40.00 -0.1910 -1.1507e0 1.0618e0 2.1051e-1
40.10 -0.1940 -1.1378e0 1.0530e0 2.1406e-1
40.20 -0.1967 -1.1252e0 1.0447e0 2.1744e-1
40.30 -0.1993 -1.1125e0 1.0366e0 2.2060e-1
40.40 -0.2017 -1.0997e0 1.0283e0 2.2349e-1
40.50 -0.2039 -1.0867e0 1.0194e0 2.2612e-1
40.60 -0.2058 -1.0733e0 1.0096e0 2.2852e-1
40.70 -0.2077 -1.0598e0 9.9888e-1 2.3080e-1
40.80 -0.2095 -1.0466e0 9.8819e-1 2.3307e-1
40.90 -0.2114 -1.0339e0 9.7871e-1 2.3541e-1
41.00 -0.2133 -1.0219e0 9.7119e-1 2.3782e-1
41.10 -0.2153 -1.0106e0 9.6546e-1 2.4024e-1
41.20 -0.2172 -9.9973e-1 9.6094e-1 2.4262e-1
41.30 -0.2191 -9.8934e-1 9.5774e-1 2.4491e-1
41.40 -0.2208 -9.7945e-1 9.5671e-1 2.4705e-1
41.50 -0.2223 -9.6981e-1 9.5785e-1 2.4894e-1
41.60 -0.2235 -9.5987e-1 9.5928e-1 2.5047e-1
41.70 -0.2244 -9.4915e-1 9.5820e-1 2.5156e-1
41.80 -0.2249 -9.3750e-1 9.5289e-1 2.5224e-1
41.90 -0.2252 -9.2514e-1 9.4364e-1 2.5257e-1
42.00 -0.2253 -9.1244e-1 9.3226e-1 2.5264e-1
42.10 -0.2251 -8.9965e-1 9.2062e-1 2.5248e-1
42.20 -0.2249 -8.8686e-1 9.0943e-1 2.5216e-1
42.30 -0.2245 -8.7414e-1 8.9852e-1 2.5172e-1
42.40 -0.2241 -8.6168e-1 8.8790e-1 2.5125e-1
42.50 -0.2238 -8.4966e-1 8.7822e-1 2.5076e-1
42.60 -0.2233 -8.3809e-1 8.7012e-1 2.5023e-1
42.70 -0.2228 -8.2682e-1 8.6346e-1 2.4961e-1
42.80 -0.2222 -8.1560e-1 8.5730e-1 2.4884e-1
42.90 -0.2214 -8.0420e-1 8.5045e-1 2.4787e-1
43.00 -0.2205 -7.9247e-1 8.4203e-1 2.4669e-1
43.10 -0.2194 -7.8036e-1 8.3165e-1 2.4531e-1
43.20 -0.2182 -7.6798e-1 8.1952e-1 2.4378e-1
43.30 -0.2169 -7.5557e-1 8.0648e-1 2.4220e-1
43.40 -0.2156 -7.4345e-1 7.9385e-1 2.4063e-1
43.50 -0.2144 -7.3185e-1 7.8291e-1 2.3915e-1
43.60 -0.2133 -7.2089e-1 7.7419e-1 2.3776e-1
43.70 -0.2122 -7.1047e-1 7.6736e-1 2.3644e-1
43.80 -0.2112 -7.0046e-1 7.6157e-1 2.3514e-1
43.90 -0.2101 -6.9067e-1 7.5600e-1 2.3382e-1
44.00 -0.2090 -6.8092e-1 7.5006e-1 2.3240e-1
44.10 -0.2077 -6.7103e-1 7.4344e-1 2.3084e-1
44.20 -0.2063 -6.6088e-1 7.3585e-1 2.2912e-1
44.30 -0.2048 -6.5038e-1 7.2698e-1 2.2723e-1
44.40 -0.2031 -6.3954e-1 7.1664e-1 2.2522e-1
44.50 -0.2014 -6.2845e-1 7.0494e-1 2.2311e-1
44.60 -0.1996 -6.1720e-1 6.9212e-1 2.2095e-1
44.70 -0.1978 -6.0591e-1 6.7849e-1 2.1876e-1
44.80 -0.1960 -5.9469e-1 6.6448e-1 2.1656e-1
44.90 -0.1942 -5.8365e-1 6.5060e-1 2.1438e-1
45.00 -0.1925 -5.7292e-1 6.3742e-1 2.1223e-1
45.10 -0.1907 -5.6253e-1 6.2537e-1 2.1012e-1
45.20 -0.1890 -5.5247e-1 6.1448e-1 2.0804e-1
45.30 -0.1873 -5.4269e-1 6.0447e-1 2.0601e-1
45.40 -0.1857 -5.3320e-1 5.9506e-1 2.0404e-1
45.50 -0.1841 -5.2403e-1 5.8620e-1 2.0216e-1
45.60 -0.1826 -5.1527e-1 5.7807e-1 2.0037e-1
45.70 -0.1812 -5.0694e-1 5.7087e-1 1.9866e-1
45.80 -0.1798 -4.9896e-1 5.6458e-1 1.9699e-1
45.90 -0.1784 -4.9122e-1 5.5887e-1 1.9530e-1
46.00 -0.1769 -4.8360e-1 5.5335e-1 1.9354e-1
46.10 -0.1754 -4.7601e-1 5.4782e-1 1.9167e-1
46.20 -0.1737 -4.6840e-1 5.4223e-1 1.8968e-1
46.30 -0.1719 -4.6074e-1 5.3647e-1 1.8755e-1
46.40 -0.1700 -4.5299e-1 5.3047e-1 1.8526e-1
46.50 -0.1679 -4.4517e-1 5.2424e-1 1.8282e-1
46.60 -0.1657 -4.3725e-1 5.1785e-1 1.8025e-1
46.70 -0.1635 -4.2925e-1 5.1128e-1 1.7757e-1
46.80 -0.1611 -4.2118e-1 5.0445e-1 1.7481e-1
46.90 -0.1587 -4.1308e-1 4.9735e-1 1.7200e-1
47.00 -0.1563 -4.0503e-1 4.9009e-1 1.6917e-1
47.10 -0.1539 -3.9708e-1 4.8284e-1 1.6634e-1
47.20 -0.1514 -3.8922e-1 4.7566e-1 1.6349e-1
47.30 -0.1489 -3.8138e-1 4.6843e-1 1.6060e-1
47.40 -0.1464 -3.7344e-1 4.6088e-1 1.5764e-1
47.50 -0.1438 -3.6533e-1 4.5268e-1 1.5461e-1
47.60 -0.1411 -3.5704e-1 4.4363e-1 1.5154e-1
47.70 -0.1384 -3.4864e-1 4.3375e-1 1.4846e-1
47.80 -0.1358 -3.4025e-1 4.2331e-1 1.4542e-1
47.90 -0.1332 -3.3202e-1 4.1273e-1 1.4247e-1
48.00 -0.1307 -3.2405e-1 4.0247e-1 1.3962e-1
48.10 -0.1283 -3.1640e-1 3.9281e-1 1.3688e-1
48.20 -0.1260 -3.0903e-1 3.8383e-1 1.3425e-1
48.30 -0.1237 -3.0193e-1 3.7545e-1 1.3170e-1
48.40 -0.1215 -2.9506e-1 3.6750e-1 1.2923e-1
48.50 -0.1194 -2.8837e-1 3.5985e-1 1.2680e-1
48.60 -0.1172 -2.8181e-1 3.5235e-1 1.2440e-1
48.70 -0.1151 -2.7530e-1 3.4484e-1 1.2197e-1
48.80 -0.1129 -2.6880e-1 3.3718e-1 1.1950e-1
48.90 -0.1106 -2.6223e-1 3.2927e-1 1.1696e-1
49.00 -0.1083 -2.5557e-1 3.2105e-1 1.1435e-1
49.10 -0.1058 -2.4881e-1 3.1252e-1 1.1165e-1
